modality,classifier,dv,model,mean_model_roc,max_test_roc,cohort,run_tag,use_pca,scale,n_pcas,n_outer_folds,n_inner_folds,seed,test_classes,test_accuracy,test_balanced_accuracy,test_f1_macro,test_roc_auc_ovr,mean_accuracy,std_accuracy,mean_balanced_accuracy,std_balanced_accuracy,mean_f1_macro,std_f1_macro,mean_roc_auc_ovr,std_roc_auc,hyperparams,hyperparams_full,model_file,predictions_file,dv_input,classifier_input,val_classes,val_accuracy,val_balanced_accuracy,val_f1_macro,val_roc_auc_ovr
T2w,binary,motion,LogisticRegression,0.8855339105339107,0.9041666666666668,mbc,5166c39abb,False,False,0,10,5,42,"[0, 1]",0.8157894736842105,0.7458333333333333,0.7347956131605184,0.9041666666666668,0.8066666666666666,0.0963788819653397,0.778409090909091,0.1370589386468229,0.7334264889699673,0.1186748017695293,0.9095959595959596,0.0729251656684903,"{'C': 0.1, 'penalty': 'l1'}","{'C': 0.1, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 200, 'multi_class': 'deprecated', 'n_jobs': None, 'penalty': 'l1', 'random_state': 42, 'solver': 'liblinear', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",output/run-5166c39abb/models/T2w_dv-motion_model-LogisticRegression_pca-False_npca-0_cvouter-10_cvinner-5_seed-42_classifier-binary_cvmetric-roc_auc.joblib,output/run-5166c39abb/predictions/predictions_T2w_dv-motion_model-LogisticRegression_pca-False_npca-0_cvouter-10_cvinner-5_seed-42_classifier-binary_cvmetric-roc_auc.csv,avg_motion,binary,"[0, 1]",1.0,1.0,1.0,1.0
FLAIR,binary,quality,LogisticRegression,0.8441176470588235,0.9321705426356588,mbc,bin_qual_final,True,False,10,10,5,42,"[0, 1]",0.8363636363636363,0.8653100775193798,0.7978766843609637,0.9321705426356588,0.7517316017316018,0.0953612446614313,0.7559191176470589,0.1176958136567976,0.6999853650242972,0.1037624151643558,0.8793382352941176,0.0738174139135598,"{'C': 0.01, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 5000, 'multi_class': 'deprecated', 'n_jobs': None, 'penalty': 'l1', 'random_state': 42, 'solver': 'liblinear', 'tol': 0.001, 'verbose': 0, 'warm_start': False}","{'C': 0.01, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 5000, 'multi_class': 'deprecated', 'n_jobs': None, 'penalty': 'l1', 'random_state': 42, 'solver': 'liblinear', 'tol': 0.001, 'verbose': 0, 'warm_start': False}",output/run-bin_qual_final/models/FLAIR_dv-quality_model-LogisticRegression_pca-False_npca-10_cvouter-10_cvinner-5_seed-42_classifier-binary_cvmetric-roc_auc.joblib,output/run-bin_qual_final/predictions/predictions_FLAIR_dv-quality_model-LogisticRegression_pca-False_npca-10_cvouter-10_cvinner-5_seed-42_classifier-binary_cvmetric-roc_auc.csv,avg_quality,binary,,,,,
FLAIR,binary,motion,RandomForest,0.8377626050420168,0.8974358974358974,mbc,5166c39abb,False,False,0,10,5,42,"[0, 1]",0.8545454545454545,0.7454212454212454,0.7727272727272727,0.8974358974358974,0.8480519480519482,0.0681374830087561,0.7495220588235295,0.1009079737766684,0.7647523554876496,0.1044513730320166,0.8253676470588236,0.1190682768058835,"{'max_depth': 5, 'min_samples_leaf': 5, 'n_estimators': 200}","{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 5, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 5, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'n_estimators': 200, 'n_jobs': None, 'oob_score': False, 'random_state': 42, 'verbose': 0, 'warm_start': False}",output/run-5166c39abb/models/FLAIR_dv-motion_model-RandomForest_pca-False_npca-0_cvouter-10_cvinner-5_seed-42_classifier-binary_cvmetric-roc_auc.joblib,output/run-5166c39abb/predictions/predictions_FLAIR_dv-motion_model-RandomForest_pca-False_npca-0_cvouter-10_cvinner-5_seed-42_classifier-binary_cvmetric-roc_auc.csv,avg_motion,binary,"[0, 1]",0.9090909090909092,0.8705882352941177,0.8705882352941177,0.9764705882352942
FLAIR,multiclass,quality,OrdinalLogistic,0.7990975836128423,0.8252067558105519,mbc,multi_qual,True,False,30,10,5,42,"[0, 1, 2, 3, 4]",0.5272727272727272,0.5158212560386473,0.5501067323481117,0.8252067558105519,0.4792207792207792,0.0496440733922548,0.4012777777777778,0.0789499177084615,0.3950769461390676,0.0849684483708784,0.8022552346174636,0.0208573599755872,"{'alpha': 5, 'max_iter': 1000}","{'alpha': 5, 'max_iter': 1000, 'verbose': 0}",output/run-multi_qual/models/FLAIR_dv-quality_model-OrdinalLogistic_pca-False_npca-30_cvouter-10_cvinner-5_seed-42_classifier-multiclass_cvmetric-roc_auc_ovr.joblib,output/run-multi_qual/predictions/predictions_FLAIR_dv-quality_model-OrdinalLogistic_pca-False_npca-30_cvouter-10_cvinner-5_seed-42_classifier-multiclass_cvmetric-roc_auc_ovr.csv,avg_quality,multiclass,"[0, 1, 2, 3, 4]",0.5,0.5311111111111112,0.5256410256410257,0.8351373342859413
T1w,binary,motion,CatBoostOrdinal,0.7934562713974478,0.9133333333333332,mbc,5166c39abb,True,False,25,10,5,42,"[0, 1]",0.8545454545454545,0.7166666666666667,0.7342995169082125,0.9133333333333332,0.7932900432900433,0.1055258628328469,0.6345588235294117,0.1270381753257235,0.6435409328501434,0.1385515103655092,0.7697440087145969,0.1068981651805515,"{'depth': 4, 'iterations': 100, 'l2_leaf_reg': 10, 'learning_rate': 0.3}","{'loss_function': 'MultiClass', 'verbose': 0, 'class_weights': array([2.85526316, 0.60614525]), 'boosting_type': 'Ordered', 'random_state': 42, 'early_stopping_rounds': 20, 'depth': 4, 'iterations': 100, 'l2_leaf_reg': 10, 'learning_rate': 0.3}",output/run-5166c39abb/models/T1w_dv-motion_model-CatBoostOrdinal_pca-False_npca-25_cvouter-10_cvinner-5_seed-42_classifier-binary_cvmetric-roc_auc.joblib,output/run-5166c39abb/predictions/predictions_T1w_dv-motion_model-CatBoostOrdinal_pca-False_npca-25_cvouter-10_cvinner-5_seed-42_classifier-binary_cvmetric-roc_auc.csv,avg_motion,binary,"[0, 1]",0.9090909090909092,0.75,0.8070175438596491,0.9722222222222222
FLAIR,multiclass,motion,OrdinalLogistic,0.7761950475238668,0.7633782788093133,mbc,multi_motion,True,False,30,10,5,42,"[0, 1, 2, 3]",0.5272727272727272,0.4715544871794871,0.484090909090909,0.7633782788093133,0.535064935064935,0.1319061187074766,0.4845941558441559,0.1612286778916788,0.4727485915855481,0.1663627428586988,0.7807502818711217,0.0864351525620945,"{'alpha': 1000, 'max_iter': 1000}","{'alpha': 1000, 'max_iter': 1000, 'verbose': 0}",output/run-multi_motion/models/FLAIR_dv-motion_model-OrdinalLogistic_pca-False_npca-30_cvouter-10_cvinner-5_seed-42_classifier-multiclass_cvmetric-roc_auc_ovr.joblib,output/run-multi_motion/predictions/predictions_FLAIR_dv-motion_model-OrdinalLogistic_pca-False_npca-30_cvouter-10_cvinner-5_seed-42_classifier-multiclass_cvmetric-roc_auc_ovr.csv,avg_motion,multiclass,"[0, 1, 2, 3]",0.7272727272727273,0.5397727272727273,0.5333333333333333,0.8859690656565656
T1w,binary,quality,LogisticRegression,0.7443365357839042,0.6595744680851063,mbc,bin_qual_final,True,False,25,10,5,42,"[0, 1]",0.6727272727272727,0.601063829787234,0.5467032967032968,0.6595744680851063,0.709090909090909,0.1039195500240207,0.7118421052631578,0.1221468261251638,0.6165916158990162,0.100653766716984,0.8110623781676413,0.1241978544922658,"{'C': 0.1, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 5000, 'multi_class': 'deprecated', 'n_jobs': None, 'penalty': 'l1', 'random_state': 42, 'solver': 'liblinear', 'tol': 0.001, 'verbose': 0, 'warm_start': False}","{'C': 0.1, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 5000, 'multi_class': 'deprecated', 'n_jobs': None, 'penalty': 'l1', 'random_state': 42, 'solver': 'liblinear', 'tol': 0.001, 'verbose': 0, 'warm_start': False}",output/run-bin_qual_final/models/T1w_dv-quality_model-LogisticRegression_pca-False_npca-25_cvouter-10_cvinner-5_seed-42_classifier-binary_cvmetric-roc_auc.joblib,output/run-bin_qual_final/predictions/predictions_T1w_dv-quality_model-LogisticRegression_pca-False_npca-25_cvouter-10_cvinner-5_seed-42_classifier-binary_cvmetric-roc_auc.csv,avg_quality,binary,,,,,
T2w,multiclass,motion,OrdinalLogistic,0.7014657320193035,0.7612486533074769,mbc,multi_motion,False,False,0,10,5,42,"[0, 1, 2, 3]",0.3947368421052631,0.4568250377073906,0.4466783216783217,0.7612486533074769,0.5466666666666666,0.1599999999999999,0.5143650793650794,0.1697585282803497,0.498479877965172,0.163182179896586,0.722666514041514,0.1363928152220253,"{'alpha': 1000, 'max_iter': 2000}","{'alpha': 1000, 'max_iter': 2000, 'verbose': 0}",output/run-multi_motion/models/T2w_dv-motion_model-OrdinalLogistic_pca-False_npca-0_cvouter-10_cvinner-5_seed-42_classifier-multiclass_cvmetric-roc_auc_ovr.joblib,output/run-multi_motion/predictions/predictions_T2w_dv-motion_model-OrdinalLogistic_pca-False_npca-0_cvouter-10_cvinner-5_seed-42_classifier-multiclass_cvmetric-roc_auc_ovr.csv,avg_motion,multiclass,"[0, 1, 2, 3]",0.5333333333333333,0.4928571428571429,0.4428571428571428,0.8911263736263736
T1w,multiclass,motion,OrdinalLogistic,0.6544522616888214,0.7187361990653841,mbc,multi_motion,True,False,10,10,5,42,"[0, 1, 2, 3]",0.4545454545454545,0.2546296296296296,0.2277039848197343,0.7187361990653841,0.4792207792207792,0.0682020859039838,0.3075396825396825,0.0730107841909125,0.2838876846865353,0.0815436528535168,0.616194633589424,0.0884602251139282,"{'alpha': 0.1, 'max_iter': 1000}","{'alpha': 0.1, 'max_iter': 1000, 'verbose': 0}",output/run-multi_motion/models/T1w_dv-motion_model-OrdinalLogistic_pca-False_npca-10_cvouter-10_cvinner-5_seed-42_classifier-multiclass_cvmetric-roc_auc_ovr.joblib,output/run-multi_motion/predictions/predictions_T1w_dv-motion_model-OrdinalLogistic_pca-False_npca-10_cvouter-10_cvinner-5_seed-42_classifier-multiclass_cvmetric-roc_auc_ovr.csv,avg_motion,multiclass,"[0, 1, 2, 3]",0.5454545454545454,0.3116883116883117,0.2916666666666666,0.8389123635535118
T2w,multiclass,quality,CatBoostOrdinal,0.6378865479758337,0.6599826588759143,mbc,multi_qual,True,False,25,10,5,42,"[0, 1, 2, 3, 4]",0.1578947368421052,0.2277777777777777,0.1186666666666666,0.6599826588759143,0.2133333333333333,0.0581186525805423,0.3419047619047619,0.0952050537921895,0.1487415917415917,0.0523625186687277,0.6500559163059163,0.0899342344442849,"{'depth': 2, 'iterations': 100, 'l2_leaf_reg': 3, 'learning_rate': 0.01}","{'loss_function': 'MultiClass', 'verbose': 0, 'class_weights': array([10.85      ,  1.49655172,  0.775     ,  0.40560748,  2.06666667]), 'boosting_type': 'Ordered', 'random_state': 42, 'early_stopping_rounds': 20, 'depth': 2, 'iterations': 100, 'l2_leaf_reg': 3, 'learning_rate': 0.01}",output/run-multi_qual/models/T2w_dv-quality_model-CatBoostOrdinal_pca-False_npca-25_cvouter-10_cvinner-5_seed-42_classifier-multiclass_cvmetric-roc_auc_ovr.joblib,output/run-multi_qual/predictions/predictions_T2w_dv-quality_model-CatBoostOrdinal_pca-False_npca-25_cvouter-10_cvinner-5_seed-42_classifier-multiclass_cvmetric-roc_auc_ovr.csv,avg_quality,multiclass,"[0, 1, 2, 3, 4]",0.1333333333333333,0.2,0.0571428571428571,0.7784215784215784
T1w,multiclass,quality,OrdinalLogistic,0.5961641334249856,0.735911962833914,mbc,multi_qual,True,False,25,10,5,42,"[0, 1, 2, 3, 4]",0.4545454545454545,0.2071428571428571,0.1866666666666666,0.735911962833914,0.4655844155844155,0.0836542984006128,0.2689242424242424,0.05994382318102,0.2457112554112554,0.0658190142735595,0.5873533682623888,0.0997157126355845,"{'alpha': 0.1, 'max_iter': 1000}","{'alpha': 0.1, 'max_iter': 1000, 'verbose': 0}",output/run-multi_qual/models/T1w_dv-quality_model-OrdinalLogistic_pca-False_npca-25_cvouter-10_cvinner-5_seed-42_classifier-multiclass_cvmetric-roc_auc_ovr.joblib,output/run-multi_qual/predictions/predictions_T1w_dv-quality_model-OrdinalLogistic_pca-False_npca-25_cvouter-10_cvinner-5_seed-42_classifier-multiclass_cvmetric-roc_auc_ovr.csv,avg_quality,multiclass,"[0, 1, 2, 3, 4]",0.5,0.2466666666666666,0.2133333333333333,0.8022368421052631
